Hotel, Country, Total Guests
City Hotel,PRT, 11514
Resort Hotel,PRT, 5811
City Hotel,FRA, 4265
City Hotel,DEU, 3060
Resort Hotel,GBR, 2616
City Hotel,GBR, 2341
City Hotel,ESP, 2120
City Hotel,ITA, 1662
Resort Hotel,ESP, 1615
City Hotel,BEL, 888
Resort Hotel,IRL, 883
City Hotel,BRA, 833
City Hotel,NLD, 821
City Hotel,USA, 713
City Hotel,CHE, 656
Resort Hotel,DEU, 643
Resort Hotel,FRA, 636
City Hotel,AUT, 570
City Hotel,IRL, 521
City Hotel,CHN, 445
City Hotel,SWE, 322
City Hotel,POL, 298
Resort Hotel,CN, 253
City Hotel,ISR, 252
City Hotel,CN, 234
Resort Hotel,NLD, 211
City Hotel,NOR, 204
Resort Hotel,USA, 190
City Hotel,RUS, 182
City Hotel,ROU, 162
Resort Hotel,BRA, 162
Resort Hotel,ITA, 160
Resort Hotel,CHE, 157
Resort Hotel,BEL, 155
City Hotel,AGO, 152
City Hotel,DNK, 147
Resort Hotel,POL, 143
City Hotel,FIN, 141
Resort Hotel,SWE, 139
City Hotel,AUS, 127
City Hotel,TUR, 123
City Hotel,HUN, 92
City Hotel,JPN, 90
City Hotel,LUX, 88
City Hotel,MAR, 86
City Hotel,CZE, 80
City Hotel,SRB, 78
Resort Hotel,FIN, 75
Resort Hotel,ROU, 75
City Hotel,ARG, 69
Resort Hotel,AUT, 68
Resort Hotel,RUS, 63
City Hotel,IND, 58
City Hotel,KOR, 51
Resort Hotel,CHN, 51
Resort Hotel,NOR, 45
City Hotel,GRC, 43
City Hotel,BGR, 42
City Hotel,THA, 40
City Hotel,DZA, 37
City Hotel,IRN, 36
City Hotel,SVK, 36
City Hotel,HRV, 34
City Hotel,NZL, 33
City Hotel,CHL, 32
City Hotel,MEX, 28
City Hotel,SAU, 28
City Hotel,SVN, 28
City Hotel,UKR, 28
Resort Hotel,MAR, 28
City Hotel,ZAF, 27
Resort Hotel,AUS, 27
City Hotel,ARE, 26
City Hotel,MOZ, 26
Resort Hotel,ARG, 26
Resort Hotel,DNK, 26
City Hotel,EST, 25
City Hotel,COL, 24
Resort Hotel,LTU, 24
Resort Hotel,LUX, 24
City Hotel,TUN, 23
City Hotel,ISL, 22
City Hotel,EGY, 21
City Hotel,TWN, 21
Resort Hotel,EST, 19
City Hotel,IDN, 17
City Hotel,SGP, 17
Resort Hotel,IND, 16
Resort Hotel,UKR, 16
City Hotel,HKG, 15
City Hotel,NGA, 15
City Hotel,CPV, 14
City Hotel,LTU, 14
City Hotel,PER, 13
Resort Hotel,LVA, 13
Resort Hotel,TUR, 13
Resort Hotel,HUN, 12
City Hotel,MYS, 11
City Hotel,VEN, 11
City Hotel,BOL, 10
City Hotel,ECU, 10
Resort Hotel,ISR, 10
City Hotel,BGD, 9
City Hotel,GEO, 9
City Hotel,KAZ, 9
City Hotel,LBN, 9
City Hotel,LVA, 9
City Hotel,BIH, 8
City Hotel,CYP, 8
City Hotel,PHL, 8
City Hotel,TJK, 8
Resort Hotel,MYS, 8
City Hotel,KWT, 7
City Hotel,PAK, 7
Resort Hotel,COL, 7
Resort Hotel,CZE, 7
City Hotel,AZE, 6
City Hotel,QAT, 6
Resort Hotel,ARE, 6
Resort Hotel,DZA, 6
Resort Hotel,GRC, 6
Resort Hotel,OMN, 6
Resort Hotel,URY, 6
Resort Hotel,ZAF, 6
City Hotel,ARM, 5
City Hotel,JOR, 5
City Hotel,MLT, 5
City Hotel,OMN, 5
Resort Hotel,AGO, 5
Resort Hotel,BLR, 5
Resort Hotel,CHL, 5
Resort Hotel,GIB, 5
Resort Hotel,THA, 5
City Hotel,BRB, 4
City Hotel,CRI, 4
City Hotel,GNB, 4
City Hotel,LBY, 4
City Hotel,MDV, 4
City Hotel,SEN, 4
City Hotel,TZA, 4
City Hotel,VNM, 4
Resort Hotel,CYP, 4
Resort Hotel,HRV, 4
Resort Hotel,SGP, 4
Resort Hotel,SVK, 4
Resort Hotel,SVN, 4
City Hotel,BLR, 3
City Hotel,GAB, 3
City Hotel,GIB, 3
City Hotel,IRQ, 3
City Hotel,PAN, 3
City Hotel,URY, 3
Resort Hotel,JEY, 3
Resort Hotel,KOR, 3
Resort Hotel,MEX, 3
Resort Hotel,NZL, 3
City Hotel,ALB, 2
City Hotel,CMR, 2
City Hotel,GGY, 2
City Hotel,GLP, 2
City Hotel,JEY, 2
City Hotel,KEN, 2
City Hotel,KHM, 2
City Hotel,MAC, 2
City Hotel,MCO, 2
City Hotel,MKD, 2
City Hotel,MUS, 2
City Hotel,PRI, 2
City Hotel,TMP, 2
Resort Hotel,ALB, 2
Resort Hotel,AND, 2
Resort Hotel,BGR, 2
Resort Hotel,CIV, 2
Resort Hotel,CMR, 2
Resort Hotel,CUB, 2
Resort Hotel,HKG, 2
Resort Hotel,IRN, 2
Resort Hotel,JAM, 2
Resort Hotel,KWT, 2
Resort Hotel,MLT, 2
Resort Hotel,MOZ, 2
Resort Hotel,NGA, 2
Resort Hotel,SRB, 2
Resort Hotel,SUR, 2
City Hotel,ABW, 1
City Hotel,AIA, 1
City Hotel,AND, 1
City Hotel,ATA, 1
City Hotel,BEN, 1
City Hotel,BFA, 1
City Hotel,BHR, 1
City Hotel,CIV, 1
City Hotel,CUB, 1
City Hotel,DMA, 1
City Hotel,DOM, 1
City Hotel,GHA, 1
City Hotel,GUY, 1
City Hotel,HND, 1
City Hotel,IMN, 1
City Hotel,JAM, 1
City Hotel,LCA, 1
City Hotel,LIE, 1
City Hotel,LKA, 1
City Hotel,MLI, 1
City Hotel,MNE, 1
City Hotel,NAM, 1
City Hotel,NIC, 1
City Hotel,PRY, 1
City Hotel,PYF, 1
City Hotel,RWA, 1
City Hotel,SLV, 1
City Hotel,SYC, 1
City Hotel,UGA, 1
City Hotel,UZB, 1
City Hotel,VGB, 1
City Hotel,ZMB, 1
Resort Hotel,ARM, 1
Resort Hotel,AZE, 1
Resort Hotel,BDI, 1
Resort Hotel,CAF, 1
Resort Hotel,COM, 1
Resort Hotel,DOM, 1
Resort Hotel,EGY, 1
Resort Hotel,GEO, 1
Resort Hotel,GGY, 1
Resort Hotel,JOR, 1
Resort Hotel,LBN, 1
Resort Hotel,MDV, 1
Resort Hotel,MUS, 1
Resort Hotel,MWI, 1
Resort Hotel,PER, 1
Resort Hotel,PHL, 1
Resort Hotel,PLW, 1
Resort Hotel,QAT, 1
Resort Hotel,SAU, 1
Resort Hotel,SYR, 1
Resort Hotel,TUN, 1
Resort Hotel,UGA, 1
Resort Hotel,VNM, 1
